,num_infected,num_interactions,num_interactions_condoms
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,0
8,1,1,0
9,1,1,0
10,1,1,0
11,1,1,0
12,1,1,0
13,1,1,0
14,1,2,0
15,1,2,0
16,1,2,0
17,1,2,0
18,1,2,0
19,1,2,0
20,1,2,0
21,1,2,0
22,1,3,0
23,1,3,0
24,1,4,0
25,1,4,0
26,1,4,0
27,1,4,0
28,1,4,0
29,1,4,0
30,1,4,0
31,1,4,0
32,1,4,0
33,1,4,0
34,1,4,0
35,1,4,0
36,1,4,0
37,1,4,0
38,1,4,0
39,1,4,0
40,1,4,0
41,1,4,0
42,1,4,0
43,1,4,0
44,1,4,0
45,1,4,0
46,1,4,0
47,1,4,0
48,1,4,0
49,1,4,0
50,1,4,0
51,1,4,0
52,1,4,0
53,1,5,0
54,1,5,0
55,1,5,0
56,1,5,0
57,1,5,0
58,1,5,0
59,1,5,0
60,1,5,0
61,1,5,0
62,1,5,0
63,1,5,0
64,1,5,0
65,1,5,0
66,1,5,0
67,1,5,0
68,1,5,0
69,1,5,0
70,1,5,0
71,1,5,0
72,1,5,0
73,1,5,0
74,1,5,0
75,1,5,0
76,1,5,0
77,1,5,0
78,1,5,0
79,1,5,0
80,1,5,0
81,1,5,0
82,1,5,0
83,1,5,0
84,1,5,0
85,1,5,0
86,1,5,0
87,1,5,0
88,1,5,0
89,1,5,0
90,1,5,0
91,1,5,0
92,1,5,0
93,1,5,0
94,1,5,0
95,1,5,0
96,1,5,0
97,1,5,0
98,1,5,0
99,1,5,0
