,time,agent_a,agent_b,use_condom,is_transmission
0,1,6,7,True,False
1,1,0,3,True,False
2,2,0,3,True,False
3,4,0,5,True,False
4,4,3,4,True,False
5,7,1,8,True,False
6,7,1,3,True,False
7,7,2,6,True,False
8,8,0,9,True,False
9,10,5,9,True,False
10,13,3,5,True,False
11,14,1,2,False,False
12,16,3,8,True,False
13,16,1,2,False,False
14,17,4,9,True,False
15,17,5,7,True,False
16,19,1,3,True,False
17,20,4,5,True,False
18,21,4,9,True,False
19,22,0,1,True,False
20,24,0,8,True,False
21,25,5,8,True,False
22,26,5,8,True,False
23,26,2,3,True,False
24,27,4,9,True,False
25,29,1,4,True,False
26,30,5,8,True,False
27,30,1,2,False,False
28,32,1,3,True,False
29,33,0,4,True,False
30,34,0,4,True,False
31,34,6,8,True,False
32,35,4,7,True,False
33,35,0,7,True,False
34,36,0,7,True,False
35,37,6,8,True,False
36,38,5,7,True,False
37,38,4,7,True,False
38,40,5,9,True,False
39,41,0,4,True,False
40,45,0,5,True,False
41,49,1,9,True,False
42,52,1,9,True,False
43,52,0,8,True,False
44,54,5,9,True,False
45,55,2,7,True,False
46,56,0,4,True,False
47,57,0,4,True,False
48,59,0,3,True,False
49,59,0,6,True,False
50,59,5,8,True,False
51,60,3,6,True,False
52,60,1,4,True,False
53,61,2,5,True,False
54,62,1,7,True,False
55,62,4,8,True,False
56,62,3,6,True,False
57,63,4,5,True,False
58,64,4,5,True,False
59,64,0,2,True,False
60,64,2,5,True,False
61,65,0,2,True,False
62,65,2,3,True,False
63,65,2,6,True,False
64,66,0,2,True,False
65,66,2,4,True,False
66,67,3,4,True,False
67,70,0,3,True,False
68,71,8,9,True,False
69,71,3,4,True,False
70,73,5,9,True,False
71,73,1,7,True,False
72,77,0,9,True,False
73,78,0,7,True,False
74,79,0,9,True,False
75,79,6,8,True,False
76,80,0,7,True,False
77,81,0,3,True,False
78,82,0,5,True,False
79,83,0,9,True,False
80,84,4,8,True,False
81,85,0,5,True,False
82,86,2,9,True,False
83,87,6,8,True,False
84,89,0,2,True,False
85,89,0,8,True,False
86,89,1,4,True,False
87,90,0,8,True,False
88,91,2,5,True,False
89,92,2,8,True,False
90,95,0,4,True,False
91,97,7,8,True,False
92,98,7,9,True,False
93,99,0,8,True,False
